frame,timestamp_s,motion_score,changed_pct,motion_level
397,13.233,8.582,11.157,Medium
398,13.267,8.552,10.923,Medium
399,13.300,10.635,13.942,Medium
400,13.333,8.000,10.270,Medium
401,13.367,7.957,10.055,Medium
402,13.400,10.017,13.137,Medium
403,13.433,7.860,10.117,Medium
404,13.467,8.010,10.143,Medium
405,13.500,10.276,13.637,Medium
406,13.533,7.913,10.254,Medium
407,13.567,7.884,10.231,Medium
408,13.600,9.902,13.149,Medium
409,13.633,7.701,9.937,Medium
410,13.667,8.253,10.148,Medium
411,13.700,9.945,13.107,Medium
412,13.733,7.797,10.122,Medium
413,13.767,7.624,9.734,Medium
414,13.800,9.436,12.321,Medium
415,13.833,7.306,9.403,Medium
416,13.867,7.566,9.483,Medium
417,13.900,9.204,12.038,Medium
418,13.933,7.154,9.082,Medium
419,13.967,7.142,9.017,Medium
420,14.000,8.632,11.487,Medium
421,14.033,6.854,8.895,Medium
422,14.067,6.793,8.814,Medium
423,14.100,9.258,11.964,Medium
424,14.133,7.196,9.345,Medium
425,14.167,7.705,9.542,Medium
426,14.200,9.328,12.347,Medium
427,14.233,7.469,9.658,Medium
428,14.267,7.572,9.806,Medium
429,14.300,10.028,13.092,Medium
430,14.333,7.824,9.979,Medium
431,14.367,8.087,9.977,Medium
432,14.400,10.057,13.186,Medium
433,14.433,7.851,10.009,Medium
434,14.467,7.815,9.991,Medium
435,14.500,10.184,13.280,Medium
436,14.533,8.024,10.215,Medium
437,14.567,8.257,10.409,Medium
438,14.600,10.152,13.289,Medium
439,14.633,7.993,9.937,Medium
440,14.667,8.150,10.036,Medium
441,14.700,9.774,12.832,Medium
442,14.733,7.609,9.242,Medium
443,14.767,7.376,9.021,Medium
444,14.800,9.257,11.977,Medium
445,14.833,6.976,8.572,Medium
446,14.867,7.136,8.730,Medium
447,14.900,8.995,11.717,Medium
448,14.933,7.027,8.672,Medium
449,14.967,7.241,8.829,Medium
450,15.000,9.146,11.746,Medium
451,15.033,6.989,8.694,Medium
452,15.067,7.156,8.617,Medium
453,15.100,8.710,11.243,Medium
454,15.133,7.018,8.463,Medium
455,15.167,6.772,8.300,Medium
456,15.200,8.554,10.964,Medium
457,15.233,6.550,8.232,Medium
458,15.267,6.653,8.295,Medium
459,15.300,8.246,10.762,Medium
460,15.333,6.343,8.163,Medium
461,15.367,6.500,8.285,Medium
462,15.400,7.909,10.425,Medium
463,15.433,6.314,8.055,Medium
464,15.467,5.961,7.516,Medium
465,15.500,7.660,9.999,Medium
466,15.533,6.017,7.588,Medium
467,15.567,6.293,7.826,Medium
468,15.600,8.001,10.238,Medium
469,15.633,6.119,7.709,Medium
470,15.667,6.260,7.685,Medium
471,15.700,7.847,9.694,Medium
472,15.733,5.951,7.436,Medium
473,15.767,6.178,7.484,Medium
474,15.800,7.562,9.646,Medium
475,15.833,5.819,7.229,Medium
476,15.867,6.031,7.348,Medium
477,15.900,7.662,9.539,Medium
