frame,timestamp_s,motion_score,changed_pct,motion_level
360,15.000,21.844,26.610,High
361,15.042,19.467,24.106,High
362,15.083,20.851,25.642,High
363,15.125,17.566,22.489,High
364,15.167,15.211,19.411,High
365,15.208,18.065,23.015,High
366,15.250,20.019,25.973,High
367,15.292,17.860,23.859,High
368,15.333,19.665,23.573,High
369,15.375,20.588,22.700,High
370,15.417,22.627,26.327,High
371,15.458,18.435,23.354,High
372,15.500,20.962,24.982,High
373,15.542,16.426,21.083,High
374,15.583,18.263,22.288,High
375,15.625,17.229,21.308,High
376,15.667,15.912,20.563,High
377,15.708,17.567,22.071,High
378,15.750,20.670,23.490,High
379,15.792,20.528,24.791,High
380,15.833,18.642,25.756,High
381,15.875,17.828,25.016,High
382,15.917,16.470,23.351,High
383,15.958,19.106,24.774,High
384,16.000,19.819,25.016,High
385,16.042,88.001,80.900,High
386,16.083,23.115,31.835,High
387,16.125,24.914,33.781,High
388,16.167,28.998,38.166,High
389,16.208,29.780,40.971,High
390,16.250,27.549,38.363,High
391,16.292,29.984,41.150,High
392,16.333,30.997,40.852,High
393,16.375,27.878,38.067,High
394,16.417,31.876,42.375,High
395,16.458,33.587,43.075,High
396,16.500,25.095,33.353,High
397,16.542,23.323,31.075,High
398,16.583,27.981,38.248,High
399,16.625,28.124,39.584,High
400,16.667,27.799,37.035,High
401,16.708,29.175,37.220,High
402,16.750,27.794,37.445,High
403,16.792,69.597,70.594,High
404,16.833,1.921,0.040,Low
405,16.875,1.878,0.035,Low
406,16.917,1.920,0.036,Low
407,16.958,1.982,0.041,Low
408,17.000,2.080,0.042,Low
409,17.042,2.038,0.044,Low
410,17.083,2.156,0.052,Low
411,17.125,2.144,0.052,Low
412,17.167,2.177,0.048,Low
413,17.208,2.300,0.053,Low
414,17.250,2.339,0.059,Low
415,17.292,2.311,0.048,Low
416,17.333,2.465,0.057,Low
417,17.375,2.520,0.052,Low
418,17.417,2.527,0.062,Low
419,17.458,2.596,0.058,Low
